 ! CLIMATE CHANGE MONTHLY FLOW DISTRIBUTION   FROM WITHIN TABLEGEN
 ! SITE:  1=OROVILLE, 2=FOLSOM, 3=YUBA, 4=SHASTA, 5=SAC AB BEND BRIDGE, 6=SAC ACC BL WILKINS SLOUGH, 7=TRINITY, 8=WHISKEYTOWN, 9=SAC ACC AB WILKINS SLOUGH, 10=STANISLAUS, 11=TUOLOMNE, 12=MERCED, 13=SJ MILLERTON
 ! IM: 1=JAN, 2=FEB, 3=MAR, 4=APR, 5=MAY
    SITE      IM        JAN        FEB        MAR        APR        MAY        JUN        JUL        AUG        SEP
       1       1     0.1511     0.1537     0.1941     0.1781     0.1596     0.0854     0.0372     0.0226     0.0182
       1       2     0.0000     0.1808     0.2286     0.2099     0.1886     0.1007     0.0437     0.0265     0.0213
       1       3     0.0000     0.0000     0.2775     0.2552     0.2317     0.1243     0.0534     0.0322     0.0257
       1       4     0.0000     0.0000     0.0000     0.3529     0.3223     0.1724     0.0736     0.0440     0.0348
       1       5     0.0000     0.0000     0.0000     0.0000     0.4968     0.2695     0.1134     0.0673     0.0530
       2       1     0.1505     0.1517     0.1778     0.1784     0.1880     0.1099     0.0318     0.0074     0.0045
       2       2     0.0000     0.1775     0.2102     0.2102     0.2219     0.1292     0.0371     0.0086     0.0053
       2       3     0.0000     0.0000     0.2542     0.2546     0.2700     0.1584     0.0460     0.0105     0.0064
       2       4     0.0000     0.0000     0.0000     0.3388     0.3631     0.2138     0.0618     0.0141     0.0085
       2       5     0.0000     0.0000     0.0000     0.0000     0.5411     0.3286     0.0962     0.0215     0.0126
       3       1     0.1585     0.1538     0.1730     0.1711     0.1887     0.1051     0.0312     0.0106     0.0080
       3       2     0.0000     0.1822     0.2064     0.2031     0.2243     0.1249     0.0371     0.0125     0.0094
       3       3     0.0000     0.0000     0.2519     0.2467     0.2745     0.1541     0.0460     0.0154     0.0114
       3       4     0.0000     0.0000     0.0000     0.3266     0.3675     0.2085     0.0617     0.0207     0.0150
       3       5     0.0000     0.0000     0.0000     0.0000     0.5387     0.3155     0.0936     0.0305     0.0217
       4       1     0.1676     0.1787     0.1979     0.1464     0.1139     0.0704     0.0467     0.0401     0.0382
       4       2     0.0000     0.2152     0.2380     0.1762     0.1368     0.0843     0.0560     0.0480     0.0457
       4       3     0.0000     0.0000     0.3035     0.2248     0.1747     0.1072     0.0711     0.0608     0.0579
       4       4     0.0000     0.0000     0.0000     0.3229     0.2508     0.1538     0.1020     0.0874     0.0831
       4       5     0.0000     0.0000     0.0000     0.0000     0.3688     0.2274     0.1510     0.1295     0.1233
       5       1     0.1872     0.1887     0.2010     0.1409     0.1070     0.0659     0.0406     0.0344     0.0344
       5       2     0.0000     0.2333     0.2475     0.1731     0.1314     0.0807     0.0498     0.0421     0.0421
       5       3     0.0000     0.0000     0.3233     0.2266     0.1717     0.1049     0.0646     0.0545     0.0545
       5       4     0.0000     0.0000     0.0000     0.3354     0.2534     0.1549     0.0953     0.0807     0.0803
