 ! CLIMATE CHANGE MONTHLY FLOW DISTRIBUTION     within TABLEGEN1
 ! SITE:  1=OROVILLE, 2=FOLSOM, 3=YUBA, 4=SHASTA, 5=SAC AB BEND BRIDGE, 7=TRINITY, 8=WHISKEYTOWN, 10=STANISLAUS, 11=TUOLOMNE, 12=MERCED, 13=SJ MILLERTON
 ! IFREWOD: 1=99%,2=95%,3=90%,4=80%,5=75%,6=70%,7=50%,8=20%
      SITE   IFREQOD       OCT       NOV       DEC
         1         1      35.1      26.1      73.9
         1         2      48.7      48.3      92.4
         1         3      53.1      55.4     109.3
         1         4      60.4      66.9     143.3
         1         5      62.7      74.3     154.9
         1         6      65.7      80.5     163.3
         1         7      76.5     105.9     243.5
         1         8     105.3     188.0     545.5
         2         1       0.0       3.7       4.9
         2         2       1.2       6.6      18.9
         2         3       3.5       9.1      28.2
         2         4       7.0      14.3      37.5
         2         5       8.1      15.6      46.8
         2         6       8.9      17.1      53.6
         2         7      13.1      25.3     107.4
         2         8      20.5      76.4     273.5
         3         1       0.0       6.7      22.1
         3         2       6.1      11.0      26.8
         3         3      12.0      14.5      35.6
         3         4      15.8      19.6      49.8
         3         5      17.7      21.6      56.2
         3         6      18.6      22.5      69.3
         3         7      22.8      35.0     116.2
         3         8      34.6      86.3     293.3
         4         1     142.8     118.9     171.9
         4         2     153.2     152.4     182.5
         4         3     168.0     159.4     205.8
         4         4     180.4     178.6     243.6
         4         5     186.0     190.6     272.0
         4         6     189.5     204.6     293.0
         4         7     213.5     222.0     406.5
         4         8     251.3     346.8     810.6
         5         1     170.4     138.0     205.9
         5         2     188.7     158.7     262.3
         5         3     197.9     181.7     292.2
         5         4     229.2     211.6     368.0
         5         5     242.6     224.0     395.9
         5         6     250.6     236.6     412.6
         5         7     279.5     285.1     618.0
         5         8     358.8     460.1    1314.4
         6         1       0.0       0.0       0.0
         6         2       0.0       0.0       0.0
         6         3       0.0       0.0       0.0
         6         4       0.0       0.0       0.0
         6         5       0.0       0.0       0.0
         6         6       0.0       0.0       0.0
         6         7       0.0       0.0       0.0
         6         8       0.0       0.0       0.0
         7         1       0.0       3.6       5.5
         7         2       1.2       4.3      15.6
         7         3       2.4       6.1      17.3
         7         4       3.8       9.3      27.1
         7         5       4.6      11.5      31.8
         7         6       5.4      13.6      34.5
         7         7       8.3      20.3      55.7
         7         8      17.1      52.7     165.1
         8         1       0.0       0.0       0.0
         8         2       0.0       0.2       1.5
         8         3       0.1       0.5       2.4
         8         4       0.6       1.0       4.4
         8         5       0.8       1.4       5.7
         8         6       1.0       1.7       7.8
         8         7       2.0       3.7      15.7
         8         8       5.9      12.7      47.9
         9         1       0.0       0.0       0.0
         9         2       0.0       0.0       0.0
         9         3       0.0       0.0       0.0
         9         4       0.0       0.0       0.0
         9         5       0.0       0.0       0.0
         9         6       0.0       0.0       0.0
         9         7       0.0       0.0       0.0
         9         8       0.0       0.0       0.0
        10         1       0.0       1.8       6.1
        10         2       0.6       3.0       8.1
        10         3       2.8       3.8      10.1
        10         4       5.4       5.5      13.2
        10         5       6.0       6.1      14.9
        10         6       6.6       7.2      17.1
        10         7       9.6      11.1      25.8
        10         8      16.2      23.7      60.5
        11         1       0.0       1.0       5.4
        11         2       1.6       3.4       7.6
        11         3       3.5       4.3      13.8
        11         4       4.7       7.0      18.4
        11         5       5.3       8.0      20.2
        11         6       6.9      10.0      25.1
        11         7      11.2      17.5      44.6
        11         8      26.6      54.6      96.8
        12         1       0.5       0.8       0.9
        12         2       1.2       1.1       3.2
        12         3       1.7       2.0       5.3
        12         4       2.2       3.6       6.5
        12         5       2.7       3.9       7.5
        12         6       3.0       4.7       9.6
        12         7       5.1       7.5      16.9
        12         8      12.8      21.6      44.3
        13         1       3.3       3.5       5.0
        13         2       5.9       6.2       8.6
        13         3       7.4       8.1      10.7
        13         4       9.6      10.2      15.7
        13         5      10.2      11.1      16.7
        13         6      10.6      12.2      18.7
        13         7      16.6      17.4      31.7
        13         8      27.7      41.7      59.0
