Stanislaus_frcst_nmi
wateryear	FEB	MAR	APR	MAY
1922	436	512	591	535
1923	656	494	359	518
1924	340	246	218	242
1925	523	614	799	889
1926	368	383	252	408
1927	586	711	706	771
1928	551	484	548	576
1929	354	297	276	387
1930	474	470	490	529
1931	439	390	320	333
1932	768	815	829	782
1933	617	512	465	432
1934	503	531	411	358
1935	674	603	759	1119
1936	621	988	878	862
1937	560	703	749	704
1938	688	1118	1417	1495
1939	532	503	444	435
1940	730	934	1057	1007
1941	789	907	859	902
1942	799	776	711	880
1943	882	848	922	909
1944	467	570	459	493
1945	563	627	825	728
1946	780	737	790	697
1947	625	554	596	538
1948	372	366	471	693
1949	486	508	621	564
1950	628	571	613	700
1951	778	640	762	691
1952	1228	1267	1313	1311
1953	719	537	497	603
1954	477	487	642	683
1955	605	569	475	522
1956	1123	1042	1014	1002
1957	496	531	520	506
1958	578	746	1014	1178
1959	483	580	436	426
1960	340	422	429	480
1961	427	361	398	417
1962	380	650	817	779
1963	564	458	627	810
1964	631	463	470	453
1965	870	679	807	895
1966	762	685	513	531
1967	795	607	915	1174
1968	569	511	442	410
1969	1167	1460	1373	1486
1970	874	741	682	616
1971	857	706	716	642
1972	484	373	223	289
1973	707	813	896	793
1974	789	644	847	892
1975	526	719	852	890
1976	519	488	414	394
1977	284	227	175	160
1978	674	713	1033	1206
1979	595	703	701	656
1980	733	894	905	844
1981	512	410	453	464
1982	902	767	1219	1474
1983	1033	1206	1293	1462
1984	919	891	792	698
1985	547	461	525	501
1986	564	826	989	912
1987	304	291	290	292
1988	506	372	298	337
1989	440	402	524	526
1990	458	435	381	397
1991	260	203	436	405
1992	426	425	455	413
1993	843	984	1055	973
1994	360	413	258	319
1995	959	774	1225	1328
1996	589	742	698	724
1997	850	592	576	450
1998	677	999	921	930
1999	650	818	713	709
2000	592	809	699	714
2001	454	480	403	487
2002	630	527	627	614
2003	616	519	502	699
2004	589	638	482	432
2005	843	854	1008	946
2006	720	671	942	1319
2007	439	539	371	376
2008	572	562	470	412
2009	567	619	720	663
2010	624	617	606	696
2011	790	830	1170	1126
2012	407	289	313	422
2013	586	431	454	405
2014	292	349	347	355
2015	382	310	261	289
