! Defines the target storage for Lyons Reservoir
lyons_target
Mon     TrigVal Target
       1       6     2.1
       1     5.3     2.1
       1     5.1     2.2
       1     4.4     2.6
       1     4.3     1.5
       1       0     1.5
       2       6     2.2
       2     5.3     2.2
       2     5.1     3.2
       2     4.4       3
       2     4.3     1.9
       2       0     1.9
       3       6     2.7
       3     5.3     2.7
       3     4.4     3.5
       3     4.3       2
       3       0       2
      10       6     4.1
      10     5.3     4.1
      10     5.1       3
      10     4.4     2.4
      10       0     2.4
      11       6     2.6
      11     5.3     2.6
      11     5.1     1.3
      11       0     1.3
      12       6     1.8
      12     5.3     1.8
      12     5.1     1.5
      12       0     1.5
