! Defines the target storage for the New Spicer Reservoir Level 3
newspicer_target
Mon     TrigVal Target  Curve
       1     200     120       0
       1     189     120       1
       1     175     110       2
       1     160     105       3
       1     140      85       4
       1     105      65       5
       1       0      65       6
       2     200     115       0
       2     120     110       1
       2     110     100       2
       2     100      95       3
       2      85      75       4
       2      65      75       5
       2       0      60       6
       3     200     108       0
       3     108     108       1
       3     105     100       2
       3      90      90       3
       3      75      70       4
       3      60      55       5
       3       0      55       6
       4     200     105       0
       4     105     105       1
       4     100     100       2
       4      85      85       3
       4      70      70       4
       4      55      55       5
       4       0      55       6
       5     200     105       0
       5     105     105       1
       5     100     100       2
       5      85      85       3
       5      70      70       4
       5      55      55       5
       5       0      55       6
       6     200     115       0
       6     105     115       1
       6     100     105       2
       6      85     100       3
       6      70      90       4
       6      55      60       5
       6       0      60       6
       7     200     140       0
       7     108     140       1
       7     100     120       2
       7      85     110       3
       7      70      95       4
       7      55      65       5
       7       0      65       6
       8     200     189       0
       8     140     189       1
       8     120     185       2
       8     105     170       3
       8      95     140       4
       8      65     105       5
       8       0     105       6
       9     200     189       0
       9     189     189       1
       9     175     185       2
       9     160     170       3
       9     140     150       4
       9     105     105       5
       9       0     105       6
      10     200     175       0
      10     189     175       1
      10     175     165       2
      10     160     160       3
      10     140     130       4
      10     105      95       5
      10       0      95       6
      11     200     150       0
      11     189     150       1
      11     175     145       2
      11     160     135       3
      11     140     115       4
      11     105      85       5
      11       0      85       6
      12     200     130       0
      12     189     130       1
      12     175     125       2
      12     160     120       3
      12     140     100       4
      12     105      75       5
      12       0      75       6
