! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3_tablea
contractor       percent          TableA
                1              100            35.80
                2              100            29.88
                3              100            29.51
                4              100            81.39
                5              100            12.70
                6              100            34.41
                7              100             4.80
                8              100            69.18
                9              100            27.50
               10              100             9.30
               11              100             2.90
               12              100            27.88
               13              100            30.60
               14              100             2.63
               15              100           134.60
               16              100           517.92
               17              100            98.77
               18              100            66.13
               19              100            83.91
               20              100             2.30
               21              100           115.41
               22              100           604.48
               23              100           270.43
               24              100           519.89
               25              100           201.30
               26              100            50.29
               27              100            17.68
               28              100             2.98
               29              100            21.30
               30              100            92.60
               31              100            28.80
               32              100            13.14
               33              100            13.59
               34              100            34.96
               35              100            80.74
               36              100            23.89
               37              100            87.47
               38              100             3.15
               39              100            16.85
                1               60            45.81
                2               60            24.19
                3               60            31.50
                4               60           122.74
                5               60            12.70
                6               60            64.12
                7               60             7.31
                8               60           122.21
                9               60            27.50
               10               60             9.31
               11               60             4.29
               12               60            49.25
               13               60            34.73
               14               60             2.83
               15               60           134.60
               16               60           544.47
               17               60           111.07
               18               60            73.78
               19               60            93.09
               20               60             2.30
               21               60            75.00
               22               60           212.66
               23               60           387.34
               24               60           649.69
               25               60           472.03
               26               60            64.09
               27               60            21.04
               28               60             4.19
               29               60            17.06
               30               60            96.66
               31               60            28.80
               32               60            15.86
               33               60            17.34
               34               60            44.20
               35               60            96.18
               36               60            37.22
               37               60            87.47
               38               60             3.15
               39               60            16.85
                1               50            44.53
                2               50            26.61
                3               50            34.60
                4               50           130.18
                5               50             7.87
                6               50            77.67
                7               50             8.42
                8               50           126.82
                9               50            27.50
               10               50             9.30
               11               50             4.83
               12               50            50.17
               13               50            35.73
               14               50             2.88
               15               50           134.60
               16               50           551.71
               17               50           112.71
               18               50            82.25
               19               50            88.17
               20               50             2.30
               21               50            89.71
               22               50            15.92
               23               50           477.62
               24               50           849.83
               25               50           378.41
               26               50            78.27
               27               50            21.77
               28               50             4.67
               29               50            19.39
               30               50            97.68
               31               50            28.80
               32               50            16.21
               33               50            19.58
               34               50            44.72
               35               50            96.99
               36               50            41.79
               37               50            87.47
               38               50             3.15
               39               50            16.85
                1               30            41.44
                2               30            30.97
                3               30            35.58
                4               30           136.64
                5               30             9.00
                6               30            82.50
                7               30             9.60
                8               30           138.35
                9               30            27.50
               10               30             9.31
               11               30             5.04
               12               30            55.75
               13               30            38.45
               14               30             2.96
               15               30           134.60
               16               30           534.35
               17               30            87.70
               18               30           126.39
               19               30            94.64
               20               30             2.30
               21               30           147.47
               22               30             0.00
               23               30           396.61
               24               30           977.35
               25               30           290.07
               26               30            83.36
               27               30            24.31
               28               30             5.24
               29               30            19.98
               30               30            99.71
               31               30            28.80
               32               30            16.64
               33               30            21.14
               34               30            45.49
               35               30            98.80
               36               30            45.41
               37               30            87.47
               38               30             3.15
               39               30            16.85
