salinity_std_jpt_new                   !RW 8/29/00 -- AG EC (mmhos/cm) standard at Jersey Pt(WQCP 5/95)                                         
month     wyt_SAC   ECstandard  
1         1         1.80
2         1         1.80            
3         1         1.80            
4         1         1.80  
7         1         0.45            
8         1         0.45            
9         1         0.45            
10        1         0.45            
11        1         1.15  
12        1         1.80
1         2         1.80
2         2         1.80 
3         2         1.80 
4         2         1.80
7         2         0.45            
8         2         0.45            
9         2         0.45            
10        2         0.45            
11        2         1.15
12        2         1.80
1         3         1.80
2         3         1.80
3         3         1.80
4         3         1.80
7         3         0.45            
8         3         0.45            
9         3         0.550            
10        3         0.74            
11        3         1.29
12        3         1.80
1         4         1.80
2         4         1.80
3         4         1.80
4         4         1.80
7         4         0.45            
8         4         0.45            
9         4         0.900            
10        4         1.35            
11        4         1.58  
12        4         1.80
1         5         2.20
2         5         2.20
3         5         2.20
4         5         2.20
7         5         2.20            
8         5         2.20            
9         5         2.20            
10        5         2.20            
11        5         2.20
12        5         2.20
