!
!Shasta Flood Curve based on inflow accumulation parameter
!
shsta_floodCurve
month	ShastaFI	FC	
1	110000	3250	!October - Set to 3250 to transfer excess water from NOD to SOD
1	200000	3250	
1	300000	3250	
1	400000	3250	
1	500000	3250	
1	530000	3250	
2	110000	3252.1	
2	200000	3252.1	
2	300000	3252.1	
2	400000	3252.1	
2	500000	3252.1	
2	530000	3252.1	
3	110000	3359.16	
3	200000	3340.45	
3	300000	3309.08	
3	400000	3284.66	
3	500000	3260.24	
3	530000	3252.1	
4	110000	3833.28	
4	200000	3731.71	
4	300000	3561.4	
4	400000	3428.84	
4	500000	3296.29	
4	530000	3252.1	
5	110000	4261.51	
5	200000	4085.11	
5	300000	3789.31	
5	400000	3559.08	
5	500000	3328.84	
5	530000	3252.1	
6	110000	4552.1	
6	200000	4476.64	
6	300000	4130.48	
6	400000	3819.9	
6	500000	3521.33	
6	530000	3418.38	
7	110000	4552.1	
7	200000	4552.1	
7	300000	4552.1	
7	400000	4277.52	
7	500000	3982.29	
7	530000	3871.87	
8	110000	4552.1	
8	200000	4552.1	
8	300000	4552.1	
8	400000	4552.1	
8	500000	4459.79	
8	530000	4340.47	
9	110000	4500	!June - Set to 4500 to transfer excess water from NOD to SOD
9	200000	4500	
9	300000	4500	
9	400000	4500	
9	500000	4500	
9	530000	4500	
10	110000	4150	!July - Set to 4150 to transfer excess water from NOD to SOD
10	200000	4150	
10	300000	4150	
10	400000	4150	
10	500000	4150	
10	530000	4150	
11	110000	3700	!August - Set to 3700 to transfer excess water from NOD to SOD
11	200000	3700	
11	300000	3700	
11	400000	3700	
11	500000	3700	
11	530000	3700	
12	110000	3400	!September - Set to 3400 to transfer excess water from NOD to SOD
12	200000	3400	
12	300000	3400	
12	400000	3400	
12	500000	3400	
12	530000	3400
