! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3_tablea
contractor       percent          TableA
                1              100            25.73
                2              100            30.09
                3              100            20.65
                4              100            73.50
                5              100            12.49
                6              100            40.53
                7              100             4.77
                8              100            65.69
                9              100            13.61
               10              100             8.98
               11              100             2.87
               12              100            26.54
               13              100            31.91
               14              100             2.90
               15              100             0.40
               16              100           569.99
               17              100           102.24
               18              100            52.61
               19              100            44.76
               20              100             2.26
               21              100           403.63
               22              100           161.92
               23              100           574.80
               24              100           456.68
               25              100            83.22
               26              100            44.15
               27              100            14.10
               28              100             2.82
               29              100            16.71
               30              100            86.20
               31              100            28.18
               32              100            16.25
               33              100            12.29
               34              100            22.30
               35              100            58.80
               36              100            23.43
               37              100            83.70
               38              100             3.15
               39              100            11.81
                1               60            26.22
                2               60            36.81
                3               60            38.01
                4               60           113.90
                5               60            12.70
                6               60            68.46
                7               60             7.66
                8               60           103.76
                9               60            14.09
               10               60             8.71
               11               60             4.98
               12               60            41.81
               13               60            46.54
               14               60             3.15
               15               60             0.73
               16               60           647.65
               17               60           141.54
               18               60            62.19
               19               60            82.41
               20               60             1.81
               21               60            24.13
               22               60             4.46
               23               60           874.85
               24               60           724.84
               25               60           104.10
               26               60            69.90
               27               60            28.44
               28               60             5.20
               29               60            16.60
               30               60            95.57
               31               60            28.80
               32               60            23.86
               33               60            17.80
               34               60            39.59
               35               60            86.70
               36               60            39.28
               37               60            87.16
               38               60            16.28
               39               60             3.71
                1               50            23.59
                2               50            33.12
                3               50            28.69
                4               50            75.58
                5               50            12.70
                6               50            41.25
                7               50             4.80
                8               50            69.18
                9               50            13.75
               10               50             9.31
               11               50             3.07
               12               50            27.88
               13               50            46.54
               14               50             3.00
               15               50             0.73
               16               50           573.55
               17               50           121.65
               18               50            55.64
               19               50            70.83
               20               50             2.30
               21               50            23.84
               22               50             4.41
               23               50           864.30
               24               50           716.11
               25               50           102.84
               26               50            44.90
               27               50            27.08
               28               50             4.03
               29               50            17.00
               30               50            87.60
               31               50            28.80
               32               50            23.86
               33               50            12.50
               34               50            25.84
               35               50            61.00
               36               50            23.88
               37               50            86.85
               38               50            16.26
               39               50             3.70
                1               30            23.59
                2               30            33.12
                3               30            28.69
                4               30            75.58
                5               30            12.70
                6               30            41.25
                7               30             4.80
                8               30            69.18
                9               30            13.75
               10               30             9.31
               11               30             3.07
               12               30            27.88
               13               30            46.54
               14               30             3.00
               15               30             0.73
               16               30           573.55
               17               30           121.65
               18               30            55.64
               19               30            70.83
               20               30             2.30
               21               30            23.84
               22               30             4.41
               23               30           864.30
               24               30           716.11
               25               30           102.84
               26               30            44.90
               27               30            27.08
               28               30             4.03
               29               30            17.00
               30               30            87.60
               31               30            28.80
               32               30            23.86
               33               30            12.50
               34               30            25.84
               35               30            61.00
               36               30            23.88
               37               30            86.85
               38               30            16.26
               39               30             3.70
