!swp_3_tablea_for_WSIDI_training
! output file swp_3_tablea_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3_tablea
contractor       percent          TableA
                1              100            25.73
                2              100            30.09
                3              100            20.65
                4              100            73.50
                5              100            12.49
                6              100            40.53
                7              100             4.77
                8              100            65.69
                9              100            13.61
               10              100             8.98
               11              100             2.87
               12              100            26.54
               13              100            31.91
               14              100             2.90
               15              100             0.40
               16              100           569.99
               17              100           102.24
               18              100            52.61
               19              100            44.76
               20              100             2.26
               21              100           403.63
               22              100           161.92
               23              100           574.80
               24              100           456.68
               25              100            83.22
               26              100            44.15
               27              100            14.10
               28              100             2.82
               29              100            16.71
               30              100            86.20
               31              100            28.18
               32              100            16.25
               33              100            12.29
               34              100            22.30
               35              100            58.80
               36              100            23.43
               37              100            83.70
               38              100             3.15
               39              100            11.81
                1               60      26.21697119
                2               60      36.80752881
                3               60           38.008
                4               60          113.904
                5               60             12.7
                6               60            68.46
                7               60            7.663
                8               60          103.762
                9               60           14.089
               10               60           8.7075
               11               60             4.98
               12               60           41.812
               13               60            46.54
               14               60           3.1515
               15               60      0.726153685
               16               60      647.6530179
               17               60      141.5416402
               18               60       62.1911871
               19               60      82.41387587
               20               60             1.81
               21               60      24.13328423
               22               60      4.461278165
               23               60      874.8477256
               24               60      724.8417086
               25               60      104.0950034
               26               60             69.9
               27               60          28.4425
               28               60            5.198
               29               60             16.6
               30               60           95.572
               31               60             28.8
               32               60            23.86
               33               60           17.798
               34               60           39.592
               35               60           86.704
               36               60           39.278
               37               60          87.1625
               38               60      16.28288154
               39               60      3.706118461
                1               50            25.73
                2               50            30.09
                3               50            20.65
                4               50            73.50
                5               50            12.49
                6               50            40.53
                7               50             4.77
                8               50            65.69
                9               50            13.61
               10               50             8.98
               11               50             2.87
               12               50            26.54
               13               50            31.91
               14               50             2.90
               15               50             0.40
               16               50           569.99
               17               50           102.24
               18               50            52.61
               19               50            44.76
               20               50             2.26
               21               50           403.63
               22               50           161.92
               23               50           574.80
               24               50           456.68
               25               50            83.22
               26               50            44.15
               27               50            14.10
               28               50             2.82
               29               50            16.71
               30               50            86.20
               31               50            28.18
               32               50            16.25
               33               50            12.29
               34               50            22.30
               35               50            58.80
               36               50            23.43
               37               50            83.70
               38               50             3.15
               39               50            11.81
                1               30            25.73
                2               30            30.09
                3               30            20.65
                4               30            73.50
                5               30            12.49
                6               30            40.53
                7               30             4.77
                8               30            65.69
                9               30            13.61
               10               30             8.98
               11               30             2.87
               12               30            26.54
               13               30            31.91
               14               30             2.90
               15               30             0.40
               16               30           569.99
               17               30           102.24
               18               30            52.61
               19               30            44.76
               20               30             2.26
               21               30           403.63
               22               30           161.92
               23               30           574.80
               24               30           456.68
               25               30            83.22
               26               30            44.15
               27               30            14.10
               28               30             2.82
               29               30            16.71
               30               30            86.20
               31               30            28.18
               32               30            16.25
               33               30            12.29
               34               30            22.30
               35               30            58.80
               36               30            23.43
               37               30            83.70
               38               30             3.15
               39               30            11.81
