! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP			
! 2005 Level of Development Assumptions			
! source spreadsheet: BST_SWP_SOD_2005_062709.xls			
swp_3pattern_A56			
contractor	month	percent	demand
1	4	100	1.00
1	5	100	1.00
1	6	100	1.00
1	7	100	1.00
1	8	100	1.00
1	9	100	1.00
1	10	100	1.00
1	11	100	1.00
1	12	100	1.00
1	1	100	1.00
1	2	100	1.00
1	3	100	1.00
2	4	100	1.00
2	5	100	1.00
2	6	100	1.00
2	7	100	1.00
2	8	100	1.00
2	9	100	1.00
2	10	100	1.00
2	11	100	1.00
2	12	100	1.00
2	1	100	1.00
2	2	100	1.00
2	3	100	1.00
3	4	100	0.03
3	5	100	0.03
3	6	100	0.04
3	7	100	0.04
3	8	100	0.04
3	9	100	0.04
3	10	100	0.04
3	11	100	0.04
3	12	100	0.23
3	1	100	0.40
3	2	100	0.58
3	3	100	1.00
4	4	100	0.27
4	5	100	0.38
4	6	100	0.65
4	7	100	1.00
4	8	100	1.00
4	9	100	1.00
4	10	100	1.00
4	11	100	1.00
4	12	100	1.00
4	1	100	1.00
4	2	100	1.00
4	3	100	1.00
5	4	100	0.00
5	5	100	0.00
5	6	100	0.00
5	7	100	0.00
5	8	100	0.00
5	9	100	0.00
5	10	100	0.00
5	11	100	0.00
5	12	100	0.00
5	1	100	0.00
5	2	100	0.00
5	3	100	0.00
6	4	100	0.00
6	5	100	0.00
6	6	100	0.00
6	7	100	0.00
6	8	100	0.00
6	9	100	0.00
6	10	100	0.00
6	11	100	0.00
6	12	100	0.00
6	1	100	0.00
6	2	100	0.00
6	3	100	0.00
7	4	100	0.00
7	5	100	0.00
7	6	100	0.00
7	7	100	0.00
7	8	100	0.00
7	9	100	0.00
7	10	100	0.00
7	11	100	0.00
7	12	100	0.00
7	1	100	0.00
7	2	100	0.00
7	3	100	0.00
8	4	100	0.00
8	5	100	0.00
8	6	100	0.00
8	7	100	0.00
8	8	100	0.00
8	9	100	0.00
8	10	100	0.00
8	11	100	0.00
8	12	100	0.00
8	1	100	0.00
8	2	100	0.00
8	3	100	0.00
9	4	100	0.00
9	5	100	0.00
9	6	100	0.00
9	7	100	0.00
9	8	100	0.00
9	9	100	0.00
9	10	100	0.00
9	11	100	0.00
9	12	100	0.00
9	1	100	0.00
9	2	100	0.00
9	3	100	0.00
10	4	100	0.00
10	5	100	0.00
10	6	100	0.00
10	7	100	0.00
10	8	100	0.40
10	9	100	0.67
10	10	100	1.00
10	11	100	1.00
10	12	100	1.00
10	1	100	1.00
10	2	100	1.00
10	3	100	1.00
11	4	100	0.00
11	5	100	0.00
11	6	100	0.00
11	7	100	0.00
11	8	100	0.00
11	9	100	0.00
11	10	100	0.00
11	11	100	0.00
11	12	100	0.00
11	1	100	0.00
11	2	100	0.00
11	3	100	0.00
12	4	100	0.00
12	5	100	0.00
12	6	100	0.00
12	7	100	0.00
12	8	100	0.00
12	9	100	0.00
12	10	100	0.00
12	11	100	0.00
12	12	100	0.00
12	1	100	0.00
12	2	100	0.00
12	3	100	0.00
13	4	100	0.11
13	5	100	0.12
13	6	100	0.13
13	7	100	0.15
13	8	100	0.45
13	9	100	1.00
13	10	100	1.00
13	11	100	1.00
13	12	100	1.00
13	1	100	1.00
13	2	100	1.00
13	3	100	1.00
14	4	100	1.00
14	5	100	1.00
14	6	100	1.00
14	7	100	1.00
14	8	100	1.00
14	9	100	1.00
14	10	100	1.00
14	11	100	1.00
14	12	100	1.00
14	1	100	1.00
14	2	100	1.00
14	3	100	1.00
15	4	100	0.00
15	5	100	0.00
15	6	100	0.00
15	7	100	0.00
15	8	100	0.00
15	9	100	0.00
15	10	100	0.00
15	11	100	0.00
15	12	100	0.00
15	1	100	0.00
15	2	100	0.00
15	3	100	0.00
16	4	100	0.05
16	5	100	0.22
16	6	100	0.41
16	7	100	0.29
16	8	100	0.59
16	9	100	0.71
16	10	100	0.65
16	11	100	0.23
16	12	100	0.26
16	1	100	0.48
16	2	100	0.58
16	3	100	1.00
17	4	100	0.09
17	5	100	0.18
17	6	100	0.38
17	7	100	1.00
17	8	100	1.00
17	9	100	1.00
17	10	100	1.00
17	11	100	1.00
17	12	100	1.00
17	1	100	1.00
17	2	100	1.00
17	3	100	1.00
18	4	100	0.16
18	5	100	0.36
18	6	100	1.00
18	7	100	1.00
18	8	100	1.00
18	9	100	1.00
18	10	100	1.00
18	11	100	1.00
18	12	100	1.00
18	1	100	1.00
18	2	100	1.00
18	3	100	1.00
19	4	100	0.01
19	5	100	0.17
19	6	100	0.33
19	7	100	0.27
19	8	100	1.00
19	9	100	1.00
19	10	100	1.00
19	11	100	1.00
19	12	100	1.00
19	1	100	1.00
19	2	100	1.00
19	3	100	1.00
20	4	100	0.00
20	5	100	0.00
20	6	100	0.00
20	7	100	0.00
20	8	100	0.00
20	9	100	0.00
20	10	100	0.00
20	11	100	0.00
20	12	100	0.00
20	1	100	0.00
20	2	100	0.00
20	3	100	0.00
21	4	100	0.00
21	5	100	0.00
21	6	100	0.00
21	7	100	0.00
21	8	100	0.00
21	9	100	0.00
21	10	100	0.00
21	11	100	0.00
21	12	100	0.00
21	1	100	0.00
21	2	100	0.00
21	3	100	0.00
22	4	100	0.00
22	5	100	0.00
22	6	100	0.00
22	7	100	0.00
22	8	100	0.00
22	9	100	0.00
22	10	100	0.00
22	11	100	0.00
22	12	100	0.00
22	1	100	0.00
22	2	100	0.00
22	3	100	0.00
23	4	100	0.00
23	5	100	0.00
23	6	100	0.00
23	7	100	0.00
23	8	100	0.00
23	9	100	0.00
23	10	100	0.00
23	11	100	0.00
23	12	100	0.00
23	1	100	0.00
23	2	100	0.00
23	3	100	0.00
24	4	100	0.00
24	5	100	0.00
24	6	100	0.00
24	7	100	0.00
24	8	100	0.00
24	9	100	0.00
24	10	100	0.00
24	11	100	0.00
24	12	100	0.00
24	1	100	0.00
24	2	100	0.00
24	3	100	0.00
25	4	100	0.00
25	5	100	0.00
25	6	100	0.00
25	7	100	0.00
25	8	100	0.00
25	9	100	0.00
25	10	100	0.00
25	11	100	0.00
25	12	100	0.00
25	1	100	0.00
25	2	100	0.00
25	3	100	0.00
26	4	100	0.08
26	5	100	0.09
26	6	100	0.10
26	7	100	0.11
26	8	100	0.13
26	9	100	0.14
26	10	100	0.17
26	11	100	0.20
26	12	100	0.25
26	1	100	0.33
26	2	100	0.50
26	3	100	1.00
27	4	100	0.00
27	5	100	0.00
27	6	100	0.00
27	7	100	0.00
27	8	100	0.00
27	9	100	0.00
27	10	100	0.00
27	11	100	0.00
27	12	100	0.00
27	1	100	0.00
27	2	100	0.00
27	3	100	0.00
28	4	100	0.00
28	5	100	0.00
28	6	100	0.00
28	7	100	0.00
28	8	100	0.00
28	9	100	0.00
28	10	100	0.00
28	11	100	0.00
28	12	100	0.00
28	1	100	0.00
28	2	100	0.00
28	3	100	0.00
29	4	100	0.00
29	5	100	0.00
29	6	100	0.00
29	7	100	0.00
29	8	100	0.00
29	9	100	0.00
29	10	100	0.00
29	11	100	0.00
29	12	100	0.00
29	1	100	0.00
29	2	100	0.00
29	3	100	0.00
30	4	100	0.00
30	5	100	0.00
30	6	100	0.00
30	7	100	0.00
30	8	100	0.00
30	9	100	0.00
30	10	100	0.00
30	11	100	0.00
30	12	100	0.00
30	1	100	0.00
30	2	100	0.00
30	3	100	0.00
31	4	100	0.00
31	5	100	0.00
31	6	100	0.00
31	7	100	0.00
31	8	100	0.00
31	9	100	0.00
31	10	100	0.00
31	11	100	0.00
31	12	100	0.00
31	1	100	0.00
31	2	100	0.00
31	3	100	0.00
32	4	100	0.00
32	5	100	1.00
32	6	100	1.00
32	7	100	1.00
32	8	100	1.00
32	9	100	1.00
32	10	100	1.00
32	11	100	1.00
32	12	100	1.00
32	1	100	1.00
32	2	100	1.00
