! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP			
! 2005 Level of Development Assumptions			
! source spreadsheet: BST_SWP_SOD_2005_062709.xls			
swp_3pattern_A56			
contractor	month	percent	demand
1	4	100	0.17
1	5	100	0.01
1	6	100	0.04
1	7	100	0.05
1	8	100	0.11
1	9	100	0.25
1	10	100	0.38
1	11	100	0.55
1	12	100	1.00
1	1	100	1.00
1	2	100	1.00
1	3	100	1.00
2	4	100	0.14
2	5	100	0.01
2	6	100	0.08
2	7	100	0.11
2	8	100	0.10
2	9	100	0.35
2	10	100	0.37
2	11	100	0.62
2	12	100	0.81
2	1	100	1.00
2	2	100	1.00
2	3	100	1.00
3	4	100	0.11
3	5	100	0.12
3	6	100	0.15
3	7	100	0.00
3	8	100	0.23
3	9	100	0.54
3	10	100	1.00
3	11	100	0.20
3	12	100	0.25
3	1	100	0.33
3	2	100	0.50
3	3	100	1.00
4	4	100	0.07
4	5	100	0.08
4	6	100	0.10
4	7	100	0.12
4	8	100	0.20
4	9	100	0.27
4	10	100	0.48
4	11	100	1.00
4	12	100	1.00
4	1	100	1.00
4	2	100	1.00
4	3	100	1.00
5	4	100	0.11
5	5	100	0.15
5	6	100	0.14
5	7	100	0.20
5	8	100	0.34
5	9	100	0.51
5	10	100	0.52
5	11	100	0.61
5	12	100	0.34
5	1	100	0.69
5	2	100	0.54
5	3	100	1.00
6	4	100	0.31
6	5	100	0.38
6	6	100	0.38
6	7	100	1.00
6	8	100	1.00
6	9	100	1.00
6	10	100	1.00
6	11	100	1.00
6	12	100	1.00
6	1	100	1.00
6	2	100	1.00
6	3	100	1.00
7	4	100	0.11
7	5	100	0.15
7	6	100	0.14
7	7	100	0.20
7	8	100	0.34
7	9	100	0.51
7	10	100	0.52
7	11	100	0.61
7	12	100	0.34
7	1	100	0.69
7	2	100	0.54
7	3	100	1.00
8	4	100	0.09
8	5	100	0.10
8	6	100	0.11
8	7	100	0.14
8	8	100	0.23
8	9	100	0.36
8	10	100	0.68
8	11	100	1.00
8	12	100	1.00
8	1	100	1.00
8	2	100	1.00
8	3	100	1.00
9	4	100	0.11
9	5	100	0.15
9	6	100	0.14
9	7	100	0.20
9	8	100	0.34
9	9	100	0.51
9	10	100	0.52
9	11	100	0.61
9	12	100	0.34
9	1	100	0.69
9	2	100	0.54
9	3	100	1.00
10	4	100	0.00
10	5	100	0.00
10	6	100	0.00
10	7	100	0.00
10	8	100	0.16
10	9	100	0.21
10	10	100	0.30
10	11	100	0.63
10	12	100	0.42
10	1	100	0.27
10	2	100	0.36
10	3	100	1.00
11	4	100	0.00
11	5	100	0.00
11	6	100	0.00
11	7	100	0.00
11	8	100	0.06
11	9	100	0.20
11	10	100	0.27
11	11	100	0.30
11	12	100	0.34
11	1	100	0.38
11	2	100	0.44
11	3	100	1.00
12	4	100	0.09
12	5	100	0.10
12	6	100	0.11
12	7	100	0.14
12	8	100	0.23
12	9	100	0.36
12	10	100	0.68
12	11	100	1.00
12	12	100	1.00
12	1	100	1.00
12	2	100	1.00
12	3	100	1.00
13	4	100	0.11
13	5	100	0.12
13	6	100	0.13
13	7	100	0.15
13	8	100	0.45
13	9	100	1.00
13	10	100	1.00
13	11	100	1.00
13	12	100	1.00
13	1	100	1.00
13	2	100	1.00
13	3	100	1.00
14	4	100	1.00
14	5	100	1.00
14	6	100	1.00
14	7	100	1.00
14	8	100	1.00
14	9	100	1.00
14	10	100	1.00
14	11	100	1.00
14	12	100	1.00
14	1	100	1.00
14	2	100	1.00
14	3	100	1.00
15	4	100	0.11
15	5	100	0.15
15	6	100	0.14
15	7	100	0.20
15	8	100	0.34
15	9	100	0.51
15	10	100	0.52
15	11	100	0.61
15	12	100	0.34
15	1	100	0.69
15	2	100	0.54
15	3	100	1.00
16	4	100	0.04
16	5	100	0.08
16	6	100	0.12
16	7	100	0.18
16	8	100	0.55
16	9	100	0.77
16	10	100	0.36
16	11	100	0.07
16	12	100	0.06
16	1	100	0.81
16	2	100	0.70
16	3	100	1.00
17	4	100	0.08
17	5	100	0.15
17	6	100	0.32
17	7	100	1.00
17	8	100	1.00
17	9	100	1.00
17	10	100	1.00
17	11	100	1.00
17	12	100	1.00
17	1	100	1.00
17	2	100	1.00
17	3	100	1.00
18	4	100	0.11
18	5	100	0.24
18	6	100	0.57
18	7	100	1.00
18	8	100	1.00
18	9	100	1.00
18	10	100	1.00
18	11	100	1.00
18	12	100	1.00
18	1	100	1.00
18	2	100	1.00
18	3	100	1.00
19	4	100	0.01
19	5	100	0.17
19	6	100	0.33
19	7	100	0.27
19	8	100	1.00
19	9	100	1.00
19	10	100	1.00
19	11	100	1.00
19	12	100	1.00
19	1	100	1.00
19	2	100	1.00
19	3	100	1.00
20	4	100	0.11
20	5	100	0.15
20	6	100	0.14
20	7	100	0.20
20	8	100	0.34
20	9	100	0.51
20	10	100	0.52
20	11	100	0.61
20	12	100	0.34
20	1	100	0.69
20	2	100	0.54
20	3	100	1.00
21	4	100	0.11
21	5	100	0.15
21	6	100	0.14
21	7	100	0.20
21	8	100	0.34
21	9	100	0.51
21	10	100	0.52
21	11	100	0.61
21	12	100	0.34
21	1	100	0.69
21	2	100	0.54
21	3	100	1.00
22	4	100	0.11
22	5	100	0.15
22	6	100	0.14
22	7	100	0.20
22	8	100	0.34
22	9	100	0.51
22	10	100	0.52
22	11	100	0.61
22	12	100	0.34
22	1	100	0.69
22	2	100	0.54
22	3	100	1.00
23	4	100	0.00
23	5	100	0.00
23	6	100	0.00
23	7	100	0.00
23	8	100	0.00
23	9	100	0.00
23	10	100	0.00
23	11	100	1.00
23	12	100	1.00
23	1	100	1.00
23	2	100	1.00
23	3	100	1.00
24	4	100	0.45
24	5	100	1.00
24	6	100	1.00
24	7	100	1.00
24	8	100	1.00
24	9	100	1.00
24	10	100	1.00
24	11	100	1.00
24	12	100	1.00
24	1	100	1.00
24	2	100	1.00
24	3	100	1.00
25	4	100	0.11
25	5	100	0.15
25	6	100	0.14
25	7	100	0.20
25	8	100	0.34
25	9	100	0.51
25	10	100	0.52
25	11	100	0.61
25	12	100	0.34
25	1	100	0.69
25	2	100	0.54
25	3	100	1.00
26	4	100	0.08
26	5	100	0.09
26	6	100	0.10
26	7	100	0.11
26	8	100	0.13
26	9	100	0.14
26	10	100	0.17
26	11	100	0.20
26	12	100	0.25
26	1	100	0.33
26	2	100	0.50
26	3	100	1.00
27	4	100	0.11
27	5	100	0.15
27	6	100	0.14
27	7	100	0.20
27	8	100	0.34
27	9	100	0.51
27	10	100	0.52
27	11	100	0.61
27	12	100	0.34
27	1	100	0.69
27	2	100	0.54
27	3	100	1.00
28	4	100	0.00
28	5	100	0.00
28	6	100	0.00
28	7	100	0.00
28	8	100	1.00
28	9	100	1.00
28	10	100	1.00
28	11	100	1.00
28	12	100	1.00
28	1	100	1.00
28	2	100	1.00
28	3	100	1.00
29	4	100	0.11
29	5	100	0.15
29	6	100	0.14
29	7	100	0.20
29	8	100	0.34
29	9	100	0.51
29	10	100	0.52
29	11	100	0.61
29	12	100	0.34
29	1	100	0.69
29	2	100	0.54
29	3	100	1.00
30	4	100	0.11
30	5	100	0.15
30	6	100	0.14
30	7	100	0.20
30	8	100	0.34
30	9	100	0.51
30	10	100	0.52
30	11	100	0.61
30	12	100	0.34
30	1	100	0.69
30	2	100	0.54
30	3	100	1.00
31	4	100	0.11
31	5	100	0.15
31	6	100	0.14
31	7	100	0.20
31	8	100	0.34
31	9	100	0.51
31	10	100	0.52
31	11	100	0.61
31	12	100	0.34
31	1	100	0.69
31	2	100	0.54
31	3	100	1.00
32	4	100	0.00
32	5	100	1.00
32	6	100	1.00
32	7	100	1.00
32	8	100	1.00
32	9	100	1.00
32	10	100	1.00
32	11	100	1.00
32	12	100	1.00
32	1	100	1.00
32	2	100	1.00
32	3	100	1.00
33	4	100	0.00
33	5	100	0.00
33	6	100	0.00
33	7	100	0.00
33	8	100	0.00
33	9	100	0.00
33	10	100	0.00
33	11	100	0.21
33	12	100	0.26
33	1	100	0.34
33	2	100	0.50
33	3	100	1.00
34	4	100	0.11
34	5	100	0.15
34	6	100	0.14
34	7	100	0.20
34	8	100	0.34
34	9	100	0.51
34	10	100	0.52
34	11	100	0.61
34	12	100	0.34
34	1	100	0.69
34	2	100	0.54
34	3	100	1.00
35	4	100	0.15
35	5	100	0.20
35	6	100	0.28
35	7	100	0.44
35	8	100	0.70
35	9	100	1.00
