! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! Edited 11/4/2024 Pspalholz. Matched 2020D09E Level of Development Assumptions
! Template based on source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3pattern_SLRule
month            percent          demand           remainDemand
                7               30              191             3155
                8               30              227             2964
                9               30              406             2737
               10               30              490             2331
               11               30              524             1841
               12               30              386             1318
                1               30              380              932
                2               30              303              552
                3               30              249              249
                7               50              191             3155
                8               50              227             2964
                9               50              406             2737
               10               50              490             2331
               11               50              524             1842
               12               50              386             1318
                1               50              380              932
                2               50              303              552
                3               50              249              249
                7               60              195             3467
                8               60              242             3273
                9               60              438             3031
               10               60              540             2594
               11               60              593             2054
               12               60              429             1461
                1               60              418             1032
                2               60              336              614
                3               60              278              278
                7              100              182             2883
                8              100              271             2701
                9              100              361             2430
               10              100              463             2069
               11              100              458             1606
               12              100              345             1147
                1              100              256              802
                2              100              289              546
                3              100              257              257
