!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                1                4              100             0.00            25.73
                1                5              100             1.31            25.72
                1                6              100             0.81            24.42
                1                7              100             1.92            23.61
                1                8              100             3.63            21.69
                1                9              100             3.04            18.07
                1               10              100             3.56            15.03
                1               11              100             3.75            11.48
                1               12              100             3.64             7.73
                1                1              100             1.78             4.09
                1                2              100             1.51             2.31
                1                3              100             0.80             0.80
                2                4              100             0.02            30.09
                2                5              100             0.33            30.07
                2                6              100             1.57            29.74
                2                7              100             1.80            28.17
                2                8              100             2.57            26.37
                2                9              100             5.94            23.79
                2               10              100             4.85            17.85
                2               11              100             4.71            13.00
                2               12              100             4.04             8.29
                2                1              100             1.79             4.24
                2                2              100             1.33             2.45
                2                3              100             1.12             1.12
                3                4              100             1.75            20.65
                3                5              100             1.75            18.90
                3                6              100             1.75            17.15
                3                7              100             1.75            15.40
                3                8              100             1.75            13.65
                3                9              100             1.75            11.90
                3               10              100             1.75            10.15
                3               11              100             1.75             8.40
                3               12              100             1.75             6.65
                3                1              100             1.40             4.90
                3                2              100             1.75             3.50
                3                3              100             1.75             1.75
                4                4              100             0.00            73.50
                4                5              100             0.00            73.50
                4                6              100             0.00            73.50
                4                7              100             0.00            73.50
                4                8              100             7.53            73.50
                4                9              100             8.90            65.96
                4               10              100             9.38            57.07
                4               11              100            10.79            47.69
                4               12              100            11.01            36.89
                4                1              100             8.33            25.89
                4                2              100             9.61            17.56
                4                3              100             7.95             7.95
                5                4              100             1.06            12.49
                5                5              100             1.06            11.43
                5                6              100             1.06            10.37
                5                7              100             1.06             9.31
                5                8              100             1.06             8.26
                5                9              100             1.06             7.20
                5               10              100             1.06             6.14
                5               11              100             1.06             5.08
                5               12              100             1.06             4.02
                5                1              100             0.85             2.96
                5                2              100             1.06             2.12
                5                3              100             1.06             1.06
                6                4              100             2.87            40.53
                6                5              100             2.46            37.65
                6                6              100             1.43            35.19
                6                7              100             2.36            33.77
                6                8              100             3.86            31.40
                6                9              100             4.71            27.54
                6               10              100             5.81            22.83
                6               11              100             5.70            17.02
                6               12              100             4.71            11.32
                6                1              100             2.89             6.61
                6                2              100             2.44             3.71
                6                3              100             1.27             1.27
                7                4              100             0.00             4.77
                7                5              100             0.00             4.77
                7                6              100             0.00             4.77
                7                7              100             0.00             4.77
                7                8              100             0.00             4.77
                7                9              100             0.00             4.77
                7               10              100             2.48             4.77
                7               11              100             2.15             2.28
                7               12              100             0.00             0.13
                7                1              100             0.13             0.13
                7                2              100             0.00             0.00
                7                3              100             0.00             0.00
                8                4              100             0.00            65.69
                8                5              100             0.00            65.69
                8                6              100             0.00            65.69
                8                7              100             0.00            65.69
                8                8              100             0.00            65.69
                8                9              100             0.00            65.69
                8               10              100             0.00            65.69
                8               11              100             0.00            65.69
                8               12              100            17.43            65.69
                8                1              100            13.94            48.26
                8                2              100            17.43            34.31
                8                3              100            16.88            16.88
                9                4              100             0.18            13.61
                9                5              100             0.18            13.43
                9                6              100             0.12            13.24
                9                7              100             0.49            13.12
                9                8              100             0.92            12.63
                9                9              100             1.28            11.72
                9               10              100             1.77            10.43
                9               11              100             1.53             8.66
                9               12              100             1.13             7.13
                9                1              100             0.56             6.00
                9                2              100             2.02             5.44
                9                3              100             3.42             3.42
               10                4              100             0.00             8.98
               10                5              100             0.00             8.98
               10                6              100             0.00             8.98
               10                7              100             0.00             8.98
               10                8              100             0.15             8.98
               10                9              100             0.15             8.83
               10               10              100             0.99             8.68
               10               11              100             1.61             7.69
               10               12              100             1.64             6.08
               10                1              100             1.31             4.44
               10                2              100             1.64             3.13
               10                3              100             1.50             1.50
               11                4              100             0.16             2.87
               11                5              100             0.11             2.70
               11                6              100             0.11             2.59
               11                7              100             0.11             2.49
               11                8              100             0.20             2.38
               11                9              100             0.31             2.18
               11               10              100             0.34             1.88
               11               11              100             0.28             1.54
               11               12              100             0.22             1.26
               11                1              100             0.13             1.04
               11                2              100             0.12             0.91
               11                3              100             0.80             0.80
               12                4              100             0.00            26.54
               12                5              100             0.00            26.54
               12                6              100             0.00            26.54
               12                7              100             0.00            26.54
               12                8              100             0.00            26.54
               12                9              100             0.00            26.54
               12               10              100             0.00            26.54
               12               11              100             0.00            26.54
               12               12              100             6.68            26.54
               12                1              100             5.35            19.85
               12                2              100             6.68            14.51
               12                3              100             7.82             7.82
               13                4              100             0.00            31.91
               13                5              100             0.00            31.91
               13                6              100             0.00            31.91
               13                7              100             1.00            31.91
               13                8              100             1.00            30.91
               13                9              100             3.20            29.91
               13               10              100             7.95            26.71
               13               11              100             7.45            18.77
               13               12              100             4.75            11.32
               13                1              100             3.12             6.57
               13                2              100             2.30             3.45
               13                3              100             1.15             1.15
               14                4              100             0.00             2.90
               14                5              100             0.00             2.90
               14                6              100             0.00             2.90
               14                7              100             0.00             2.90
               14                8              100             0.00             2.90
               14                9              100             0.00             2.90
               14               10              100             0.50             2.90
               14               11              100             0.50             2.40
               14               12              100             0.50             1.90
               14                1              100             0.40             1.40
               14                2              100             0.50             1.00
               14                3              100             0.50             0.50
               15                4              100             0.02             0.40
               15                5              100             0.02             0.37
               15                6              100             0.03             0.35
               15                7              100             0.03             0.32
               15                8              100             0.04             0.29
               15                9              100             0.04             0.25
               15               10              100             0.04             0.21
               15               11              100             0.04             0.16
               15               12              100             0.04             0.12
               15                1              100             0.03             0.08
               15                2              100             0.02             0.05
               15                3              100             0.02             0.02
               16                4              100             7.20           569.99
               16                5              100             7.75           562.79
               16                6              100             9.45           555.04
               16                7              100            21.89           545.59
               16                8              100            57.09           523.70
               16                9              100            84.88           466.61
               16               10              100           132.75           381.74
               16               11              100           104.14           248.99
               16               12              100            57.69           144.85
               16                1              100            37.98            87.16
               16                2              100            26.83            49.18
               16                3              100            22.35            22.35
               17                4              100             0.00           102.24
               17                5              100             0.00           102.24
               17                6              100             0.00           102.24
               17                7              100             2.31           102.24
               17                8              100            16.18            99.94
               17                9              100            24.20            83.76
               17               10              100            15.46            59.56
               17               11              100            16.85            44.10
