! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP		
! 2005 Level of Development Assumptions		
! source spreadsheet: BST_SWP_SOD_2005_062709.xls		
swp_A56_pattern		
contractor	month	demand
1	4	0.01
1	5	0.02
1	6	0.05
1	7	0.07
1	8	0.11
1	9	0.13
1	10	0.16
1	11	0.18
1	12	0.15
1	1	0.08
1	2	0.03
1	3	0.01
2	4	0.10
2	5	0.05
2	6	0.05
2	7	0.07
2	8	0.08
2	9	0.22
2	10	0.15
2	11	0.17
2	12	0.05
2	1	0.03
2	2	0.01
2	3	0.03
3	4	0.01
3	5	0.03
3	6	0.03
3	7	0.00
3	8	0.07
3	9	0.19
3	10	0.22
3	11	0.22
3	12	0.17
3	1	0.06
3	2	0.00
3	3	0.00
4	4	0.06
4	5	0.06
4	6	0.19
4	7	0.28
4	8	0.29
4	9	0.09
4	10	0.03
4	11	0.00
4	12	0.00
4	1	0.00
4	2	0.00
4	3	0.00
5	4	0.00
5	5	0.00
5	6	0.00
5	7	0.00
5	8	0.00
5	9	0.00
5	10	0.00
5	11	0.00
5	12	0.00
5	1	0.00
5	2	0.00
5	3	0.00
6	4	0.31
6	5	0.27
6	6	0.16
6	7	0.26
6	8	0.00
6	9	0.00
6	10	0.00
6	11	0.00
6	12	0.00
6	1	0.00
6	2	0.00
6	3	0.00
7	4	0.00
7	5	0.00
7	6	0.00
7	7	0.00
7	8	0.00
7	9	0.00
7	10	0.00
7	11	0.00
7	12	0.00
7	1	0.00
7	2	0.00
7	3	0.00
8	4	0.08
8	5	0.08
8	6	0.12
8	7	0.17
8	8	0.20
8	9	0.19
8	10	0.07
8	11	0.06
8	12	0.02
8	1	0.01
8	2	0.00
8	3	0.00
9	4	0.00
9	5	0.00
9	6	0.00
9	7	0.00
9	8	0.00
9	9	0.00
9	10	0.00
9	11	0.00
9	12	0.00
9	1	0.00
9	2	0.00
9	3	0.00
10	4	0.00
10	5	0.00
10	6	0.00
10	7	0.00
10	8	0.40
10	9	0.40
10	10	0.20
10	11	0.00
10	12	0.00
10	1	0.00
10	2	0.00
10	3	0.00
11	4	0.00
11	5	0.00
11	6	0.00
11	7	0.00
11	8	0.00
11	9	0.00
11	10	0.00
11	11	0.00
11	12	0.05
11	1	0.11
11	2	0.08
11	3	0.10
12	4	0.08
12	5	0.08
12	6	0.12
12	7	0.17
12	8	0.20
12	9	0.19
12	10	0.07
12	11	0.06
12	12	0.02
12	1	0.01
12	2	0.00
12	3	0.00
13	4	0.11
13	5	0.11
13	6	0.11
13	7	0.11
13	8	0.26
13	9	0.32
13	10	0.00
13	11	0.00
13	12	0.00
13	1	0.00
13	2	0.00
13	3	0.00
14	4	1.00
14	5	0.00
14	6	0.00
14	7	0.00
14	8	0.00
14	9	0.00
14	10	0.00
14	11	0.00
14	12	0.00
14	1	0.00
14	2	0.00
14	3	0.00
15	4	0.00
15	5	0.00
15	6	0.00
15	7	0.00
15	8	0.00
15	9	0.00
15	10	0.00
15	11	0.00
15	12	0.00
15	1	0.00
15	2	0.00
15	3	0.00
16	4	0.03
16	5	0.10
16	6	0.11
16	7	0.19
16	8	0.36
16	9	0.18
16	10	0.01
16	11	0.00
16	12	0.00
16	1	0.01
16	2	0.00
16	3	0.00
17	4	0.08
17	5	0.14
17	6	0.25
17	7	0.53
17	8	0.00
17	9	0.00
17	10	0.00
17	11	0.00
17	12	0.00
17	1	0.00
17	2	0.00
17	3	0.00
18	4	0.11
18	5	0.21
18	6	0.38
18	7	0.29
18	8	0.00
18	9	0.00
18	10	0.00
18	11	0.00
18	12	0.00
18	1	0.00
18	2	0.00
18	3	0.00
19	4	0.01
19	5	0.17
19	6	0.27
19	7	0.15
19	8	0.40
19	9	0.00
19	10	0.00
19	11	0.00
19	12	0.00
19	1	0.00
19	2	0.00
19	3	0.00
