swp_A56_total		
contractor	percent	A56_tot
1	100	1.70
2	100	9.36
3	100	21.36
4	100	0.00
5	100	0.00
6	100	0.00
7	100	0.00
8	100	2.25
9	100	0.00
10	100	0.00
11	100	9.50
12	100	0.25
13	100	127.23
14	100	0.00
15	100	0.00
16	100	4.20
17	100	0.00
18	100	0.00
19	100	0.00
20	100	0.00
21	100	0.00
22	100	1.50
23	100	0.00
24	100	0.00
25	100	40.98
26	100	0.00
27	100	21.71
28	100	0.00
29	100	0.00
30	100	0.24
1	60	1.70
2	60	9.36
3	60	21.36
4	60	5.87
5	60	0.00
6	60	71.28
7	60	0.00
8	60	2.25
9	60	0.00
10	60	28.72
11	60	9.50
12	60	0.25
13	60	127.23
14	60	0.00
15	60	0.00
16	60	4.20
17	60	0.00
18	60	0.06
19	60	0.00
20	60	20.00
21	60	0.00
22	60	1.50
23	60	0.00
24	60	0.00
25	60	40.98
26	60	3.75
27	60	13.03
28	60	0.00
29	60	0.00
30	60	0.00
1	50	1.70
2	50	9.36
3	50	21.36
4	50	5.96
5	50	0.00
6	50	71.28
7	50	0.00
8	50	2.25
9	50	0.51
10	50	28.72
11	50	9.50
12	50	0.25
13	50	127.23
14	50	0.00
15	50	0.00
16	50	4.20
17	50	0.00
18	50	0.06
19	50	0.00
20	50	0.00
21	50	0.00
22	50	1.50
23	50	0.00
24	50	0.00
25	50	40.98
26	50	7.50
27	50	21.71
28	50	0.00
29	50	0.00
30	50	0.00
1	30	1.70
2	30	9.36
3	30	21.36
4	30	5.96
5	30	0.00
6	30	71.28
7	30	0.00
8	30	2.25
9	30	0.51
10	30	28.72
11	30	9.50
12	30	0.25
13	30	127.23
14	30	0.00
15	30	0.00
16	30	4.20
17	30	0.00
18	30	0.06
19	30	0.00
20	30	0.00
21	30	0.00
22	30	1.50
23	30	0.00
24	30	0.00
25	30	40.98
26	30	7.50
27	30	21.71
28	30	0.00
29	30	0.00
30	30	0.00
1	5	1.70
2	5	9.36
3	5	21.36
4	5	5.96
5	5	0.00
6	5	71.28
7	5	0.00
8	5	2.25
9	5	0.51
10	5	28.72
11	5	9.50
12	5	0.25
13	5	127.23
14	5	0.00
15	5	0.00
16	5	4.20
17	5	0.00
18	5	0.06
19	5	0.00
20	5	0.00
21	5	0.00
22	5	1.50
23	5	0.00
24	5	0.00
25	5	40.98
26	5	7.50
27	5	21.71
28	5	0.00
29	5	0.00
30	5	0.00
