! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_carryover
contractor       percent          carryover
                1              100            23.91
                2              100            21.00
                3              100            69.26
                4              100             0.00
                5              100             4.80
                6              100            69.18
                7              100            13.75
                8              100             0.00
                9              100             2.90
               10              100            27.88
               11              100             8.67
               12              100             0.62
               13              100           200.00
               14              100             0.00
               15              100           200.00
               16              100            44.90
               17              100            14.51
               18              100             2.85
               19              100             4.30
               20              100            15.00
               21              100             0.00
               22              100             0.65
               23              100            12.50
               24              100            22.74
               25              100            39.00
               26              100            23.88
               27              100             0.62
               28              100             5.00
               29              100             0.00
               30              100            41.25
                1               60            17.59
                2               60             3.99
                3               60            30.94
                4               60             0.00
                5               60             1.94
                6               60            34.59
                7               60            13.41
                8               60             0.60
                9               60             0.82
               10               60            13.94
               11               60            -5.19
               12               60             0.47
               13               60            48.11
               14               60             0.49
               15               60           179.12
               16               60            19.90
               17               60             0.58
               18               60             0.50
               19               60             4.70
               20               60             7.03
               21               60             0.00
               22               60            -6.56
               23               60             7.20
               24               60             5.89
               25               60            13.30
               26               60             8.48
               27               60             0.31
               28               60             0.01
               29               60             0.00
               30               60            14.04
                1               50            23.91
                2               50            13.31
                3               50            69.26
                4               50             0.00
                5               50             4.80
                6               50            69.18
                7               50            13.75
                8               50             0.00
                9               50             2.73
               10               50            27.88
               11               50            -5.19
               12               50             0.62
               13               50           160.36
               14               50             0.00
               15               50           200.00
               16               50            44.90
               17               50             1.94
               18               50             1.67
               19               50             4.30
               20               50            15.00
               21               50             0.00
               22               50            -6.56
               23               50            12.50
               24               50            19.65
               25               50            39.00
               26               50            23.88
               27               50             0.62
               28               50             0.04
               29               50             0.00
               30               50            41.25
                1               30            23.91
                2               30            13.31
                3               30            69.26
                4               30             0.00
                5               30             4.80
                6               30            69.18
                7               30            13.75
                8               30             0.00
                9               30             2.73
               10               30            27.88
               11               30            -5.19
               12               30             0.62
               13               30           160.36
               14               30             0.00
               15               30           200.00
               16               30            44.90
               17               30             1.94
               18               30             1.67
               19               30             4.30
               20               30            15.00
               21               30             0.00
               22               30            -6.56
               23               30            12.50
               24               30            19.65
               25               30            39.00
               26               30            23.88
               27               30             0.62
               28               30             0.04
               29               30             0.00
               30               30            41.25
