wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4000.82234887
1000.0        4000.82234887
1500.0        4000.82234887
2000.0        4000.82234887
2500.0        4000.82234887
3000.0        4000.82234887
3500.0        4000.82234887
4000.0        4000.82234887
4500.0        4000.82234887
5000.0        4140.67031
5500.0        4484.02094172
6000.0        4697.75522872
6500.0        5495.97813399
7000.0        6287.53141953
7500.0        7071.95547047
8000.0        7786.06454413
8500.0        8164.46442861
9000.0        8500.43671865
9500.0        8961.52297732
10000.0        9909.89296371
10500.0        10646.8085577
11000.0        11134.0058254
11500.0        11460.9540331
12000.0        11894.8197847
12500.0        12073.8439722
13000.0        12167.8095828
13500.0        12252.4272128
14000.0        12294.1905631
14500.0        12294.1905631
15000.0        12294.1905631
15500.0        12294.1905631
16000.0        12294.1905631
16500.0        12294.1905631
17000.0        12294.1905631
17500.0        12294.1905631
18000.0        12294.1905631
18500.0        12294.1905631
19000.0        12294.1905631
19500.0        12294.1905631
20000.0        12294.1905631
