wsi_di_SWP
wsi                   di
0.0        0.0
500.0        549.504528707
1000.0        549.504528707
1500.0        549.504528707
2000.0        597.495237104
2500.0        1164.74111587
3000.0        1854.76251982
3500.0        2704.45450305
4000.0        3643.61485036
4500.0        4579.4514595
5000.0        5640.35589203
5500.0        6449.89103152
6000.0        7145.28573876
6500.0        7827.64736182
7000.0        7968.69219178
7500.0        8123.65423734
8000.0        8123.65423734
8500.0        8123.65423734
9000.0        8123.65423734
9500.0        8123.65423734
10000.0        8123.65423734
10500.0        8123.65423734
11000.0        8123.65423734
11500.0        8123.65423734
12000.0        8123.65423734
12500.0        8123.65423734
13000.0        8123.65423734
13500.0        8123.65423734
14000.0        8123.65423734
14500.0        8123.65423734
15000.0        8123.65423734
15500.0        8123.65423734
16000.0        8123.65423734
16500.0        8123.65423734
17000.0        8123.65423734
17500.0        8123.65423734
18000.0        8123.65423734
18500.0        8123.65423734
19000.0        8123.65423734
19500.0        8123.65423734
20000.0        8123.65423734
