wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4005.3014077
1000.0        4005.3014077
1500.0        4005.3014077
2000.0        4005.3014077
2500.0        4005.3014077
3000.0        4005.3014077
3500.0        4005.3014077
4000.0        4005.3014077
4500.0        4005.3014077
5000.0        4130.92679728
5500.0        4461.68657881
6000.0        4674.42364621
6500.0        5486.80908527
7000.0        6274.16082742
7500.0        7056.01768615
8000.0        7625.96715845
8500.0        8095.51155089
9000.0        8475.89592362
9500.0        8964.43228334
10000.0        9921.65297815
10500.0        10632.4922394
11000.0        11110.7792982
11500.0        11455.9226771
12000.0        11893.3654355
12500.0        12073.2588106
13000.0        12167.7641972
13500.0        12252.5847546
14000.0        12294.5779412
14500.0        12294.5779412
15000.0        12294.5779412
15500.0        12294.5779412
16000.0        12294.5779412
16500.0        12294.5779412
17000.0        12294.5779412
17500.0        12294.5779412
18000.0        12294.5779412
18500.0        12294.5779412
19000.0        12294.5779412
19500.0        12294.5779412
20000.0        12294.5779412
