wsi_di_SWP
wsi                   di
0.0        0.0
500.0        546.402373765
1000.0        546.402373765
1500.0        546.402373765
2000.0        612.083388626
2500.0        1186.56848889
3000.0        1877.24675085
3500.0        2726.00940906
4000.0        3639.78555241
4500.0        4580.64793296
5000.0        5641.63307231
5500.0        6443.67000239
6000.0        7141.38110623
6500.0        7825.85674497
7000.0        7954.58027727
7500.0        8107.39017734
8000.0        8107.39017734
8500.0        8107.39017734
9000.0        8107.39017734
9500.0        8107.39017734
10000.0        8107.39017734
10500.0        8107.39017734
11000.0        8107.39017734
11500.0        8107.39017734
12000.0        8107.39017734
12500.0        8107.39017734
13000.0        8107.39017734
13500.0        8107.39017734
14000.0        8107.39017734
14500.0        8107.39017734
15000.0        8107.39017734
15500.0        8107.39017734
16000.0        8107.39017734
16500.0        8107.39017734
17000.0        8107.39017734
17500.0        8107.39017734
18000.0        8107.39017734
18500.0        8107.39017734
19000.0        8107.39017734
19500.0        8107.39017734
20000.0        8107.39017734
