!Days	for	X2	at	"Confluence,"	Chipps	"Is.,"	and	Roe	Island	(WQCP	1995)
!Refer to FOOTNOTE 14 FOR TABLE 3 from SWRCB's 1995 Water Quality Control Plan
!And TABLE A: Number of Days When Maximum Daily Average Electrical Conductivity of 2.64 mmhos/cm Must Be Maintained at Specified Location [a]
!PMI in TAF
x2days_chs
PMI	Index	FEB	MAR	APR	MAY	JUN
0	0	0	0	0	0	0
500	1	0	0	0	0	0
800	2	0	0	0	0	0
1000	3	28	12	2	0	0
1250	4	28	31	6	0	0
1500	5	28	31	13	0	0
1750	6	28	31	20	0	0
2000	7	28	31	25	1	0
2250	8	28	31	27	3	0
2500	9	28	31	29	11	1
2750	10	28	31	29	20	2
3000	11	28	31	30	27	4
3250	12	28	31	30	29	8
3500	13	28	31	30	30	13
3750	14	28	31	30	31	18
4000	15	28	31	30	31	23
4250	16	28	31	30	31	25
4500	17	28	31	30	31	27
4750	18	28	31	30	31	28
5000	19	28	31	30	31	29
5250	20	28	31	30	31	29
5500	21	28	31	30	31	30
10000	22	28	31	30	31	30
999999	22	28	31	30	31	30
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	




















































































































































































































































































































































































































































































































