!Days	for	X2	at	"Confluence,"	Chipps	"Is.,"	and	Roe	Island	(WQCP	1995)
!Refer to FOOTNOTE 14 FOR TABLE 3 from SWRCB's 1995 Water Quality Control Plan
!And TABLE A: Number of Days When Maximum Daily Average Electrical Conductivity of 2.64 mmhos/cm Must Be Maintained at Specified Location [a]
!PMI in TAF
x2days_roe
PMI	Index	FEB	MAR	APR	MAY	JUN
0	1	0	0	0	0	0
250	2	1	0	0	0	0
500	3	4	1	0	0	0
750	4	8	2	0	0	0
1000	5	12	4	0	0	0
1250	6	15	6	1	0	0
1500	7	18	9	1	0	0
1750	8	20	12	2	0	0
2000	9	21	15	4	0	0
2250	10	22	17	5	1	0
2500	11	23	19	8	1	0
2750	12	24	21	10	2	0
3000	13	25	23	12	4	0
3250	14	25	24	14	6	0
3500	15	25	25	16	9	0
3750	16	26	26	18	12	0
4000	17	26	27	20	15	0
4250	18	26	27	21	18	1
4500	19	26	28	23	21	2
4750	20	27	28	24	23	3
5000	21	27	28	25	25	4
5250	22	27	29	25	26	6
5500	23	27	29	26	28	9
5750	24	27	29	27	28	13
6000	25	27	29	27	29	16
6250	26	27	30	27	29	19
6500	27	27	30	28	30	22
6750	28	27	30	28	30	24
7000	29	27	30	28	30	26
7250	30	27	30	28	30	27
7500	31	27	30	29	30	28
7750	32	27	30	29	31	28
8000	33	27	30	29	31	29
8250	34	28	30	29	31	29
8500	35	28	30	29	31	29
8750	36	28	30	29	31	30
9000	37	28	30	29	31	30
9250	38	28	30	29	31	30
9500	39	28	31	29	31	30
9750	40	28	31	29	31	30
10000	41	28	31	30	31	30
999999	42	28	31	30	31	30
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	




















































































































































































































































































































































































































































































































