! Author Puneet Khatavkar, Stantec
! Created on 01/12/20
! Based on new Water Quality Certification for the NID Yuba-Bear Project (FERC 2266) issued in August 2020
! Minimum streamflow on Middle Yuba River below Jackson Meadows Dam,
! Middle Yuba River below Milton Diversion Dam, 
! and Canyon Creek below Bowman-Spaulding Diversion Dam
yuba_min_FERC2266_WQC
month	JckMdw_ECD	JckMdw_CDY	JckMdw_DY	JckMdw_BNY	JckMdw_NY	JckMdw_Wet	Milton_ECD	Milton_CDY	Milton_DY	Milton_BNY	Milton_NY	Milton_Wet	BowSpd_ECD	BowSpd_CDY	BowSpd_DY	BowSpd_BNY	BowSpd_NY	BowSpd_Wet	French_ECD	French_CDY	French_DY	French_BNY	French_NY	French_Wet	BSTrib_ECD	BSTrib_CDY	BSTrib_DY	BSTrib_BNY	BSTrib_NY	BSTrib_Wet	DutchFlt_ECD	DutchFlt_CDY	DutchFlt_DY	DutchFlt_BNY	DutchFlt_NY	DutchFlt_Wet
1	11	11	13	15	20	35	4	6	6	10	10	15	4	6	10	10	10	15	5	5	6	9	9	9	2.9	3.3	3.5	8	11	13	7	7	8	10	13	13
2	11	11	13	15	20	35	4	6	6	10	10	15	4	6	10	10	10	15	5	5	6	9	9	9	2.9	3.3	3.5	8	11	13	7	7	8	10	13	13
3	11	11	13	15	20	35	4	6	6	10	10	15	4	6	10	10	10	15	5	5	6	9	9	9	2.9	3.3	3.5	8	11	13	7	7	8	10	13	13
4	11	11	13	15	20	35	4	6	6	10	10	15	4	6	10	10	10	20	5	5	6	9	9	9	2.9	3.3	3.5	8	11	13	7	7	8	10	13	13
5	11	11	13	15	25	40	4	6	6	10	15	15	4	6	10	15	20	25	5	5	6	9	14	18	2.9	3.3	3.5	8	11	13	10	10	15	20	22	30
6	11	11	16	25	35	60	4	6	6	20	25	30	4	6	10	15	20	25	5	5	6	9	14	18	2.9	3.3	3.5	12	15	15	15	15	20	25	30	40
7	30	30	30	50	60	100	6	10	15	30	35	40	6	13	15	30	35	40	5	5	6	9	14	18	10.9	11.3	11.5	19	25	25	20	20	25	30	35	45
8	60	60	75	90	110	120	6	20	30	50	60	70	6	15	20	40	50	60	5	5	6	9	14	18	13.4	13.8	16.5	24	36	36	15	15	20	25	30	40
9	21	21	30	50	75	100	6	15	20	30	35	40	6	13	15	30	35	40	5	5	6	9	14	18	4.9	5.3	11.5	19	25	30	10	10	15	20	22	30
10	11	11	16	25	35	60	4	6	10	15	20	20	4	10	15	15	25	30	5	5	6	9	14	18	2.9	3.3	3.5	10	13	15	10	10	10	10	12	15
11	11	11	13	15	25	40	4	6	6	10	15	15	4	10	15	15	20	20	5	5	6	9	14	18	2.9	3.3	3.5	10	11	13	10	10	10	10	12	15
12	11	11	13	15	25	40	4	6	6	10	15	15	4	10	15	15	20	20	5	5	6	9	14	18	2.9	3.3	3.5	10	11	13	10	10	10	10	12	15
