! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
AnnualReqDel_swp
Year             AG               MWD              OTH              LOSS             Total
             1921           1007.7           1911.5           1250.9             64.5           4234.6
             1922           1007.7           1911.5           1250.9             64.5           4234.6
             1923           1007.7           1911.5           1250.9             64.5           4234.6
             1924           1007.7           1911.5           1250.9             64.5           4234.6
             1925           1007.7           1911.5           1250.9             64.5           4234.6
             1926           1007.7           1911.5           1250.9             64.5           4234.6
             1927           1007.7           1911.5           1250.9             64.5           4234.6
             1928           1007.7           1911.5           1250.9             64.5           4234.6
             1929           1007.7           1911.5           1250.9             64.5           4234.6
             1930           1007.7           1911.5           1250.9             64.5           4234.6
             1931           1007.7           1911.5           1250.9             64.5           4234.6
             1932           1007.7           1911.5           1250.9             64.5           4234.6
             1933           1007.7           1911.5           1250.9             64.5           4234.6
             1934           1007.7           1911.5           1250.9             64.5           4234.6
             1935           1007.7           1911.5           1250.9             64.5           4234.6
             1936           1007.7           1911.5           1250.9             64.5           4234.6
             1937           1007.7           1911.5           1250.9             64.5           4234.6
             1938           1007.7           1911.5           1250.9             64.5           4234.6
             1939           1007.7           1911.5           1250.9             64.5           4234.6
             1940           1007.7           1911.5           1250.9             64.5           4234.6
             1941           1007.7           1911.5           1250.9             64.5           4234.6
             1942           1007.7           1911.5           1250.9             64.5           4234.6
             1943           1007.7           1911.5           1250.9             64.5           4234.6
             1944           1007.7           1911.5           1250.9             64.5           4234.6
             1945           1007.7           1911.5           1250.9             64.5           4234.6
             1946           1007.7           1911.5           1250.9             64.5           4234.6
             1947           1007.7           1911.5           1250.9             64.5           4234.6
             1948           1007.7           1911.5           1250.9             64.5           4234.6
             1949           1007.7           1911.5           1250.9             64.5           4234.6
             1950           1007.7           1911.5           1250.9             64.5           4234.6
             1951           1007.7           1911.5           1250.9             64.5           4234.6
             1952           1007.7           1911.5           1250.9             64.5           4234.6
             1953           1007.7           1911.5           1250.9             64.5           4234.6
             1954           1007.7           1911.5           1250.9             64.5           4234.6
             1955           1007.7           1911.5           1250.9             64.5           4234.6
             1956           1007.7           1911.5           1250.9             64.5           4234.6
             1957           1007.7           1911.5           1250.9             64.5           4234.6
             1958           1007.7           1911.5           1250.9             64.5           4234.6
             1959           1007.7           1911.5           1250.9             64.5           4234.6
