!	New	Baselines	version	(Jun	2009),			based	on	(version	9B1)	Common	Assumptions	CMP
!	2020D09E	Level	of	Development
!	source	spreadsheet:	FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm	
!				
!	Demands	from	SWPAO/O&M	spreadsheets
!	month=99	is	for	carryover
CAM_SWPDem_SOD				
month	Dem100	Dem50	Dem30	Rem100
4	79.01	108.27	85.93	3501.21
5	85.52	115.56	94.95	3422.2
6	148.42	152.55	145.41	3336.68
7	201.03	255.06	226.97	3188.26
8	261.97	353.02	311.5	2987.23
9	439.02	521.85	529.73	2725.26
10	473.35	561.15	609.88	2286.24
11	483.5	506.99	556.94	1812.89
12	407.6	398.71	392.01	1329.39
1	366.33	379.92	430.3	921.79
2	325.48	307.38	337.71	555.46
3	229.98	287.19	289.6	229.98
99	554.79	108.35	45.07	0
