! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3pattern_SLRule_new
month            percent          demand           remainDemand
7               30            227.0           3684.6
8               30            311.5           3457.7
9               30            529.7           3146.2
10               30            609.9           2616.5                            
11               30            557.0           2006.6                             
12               30            392.0           1449.6                            
1               30            430.3           1057.6                            
2               30            337.7            627.3                            
3               30            289.6            289.6                             
7               50            255.1           3571.3                             
8               50            353.0           3316.2                           
9               50            521.9           2963.2                           
10               50            561.1           2441.3                           
11               50            507.0           1880.2                            
12               50            398.7           1373.2                            
1               50            379.9            974.5                            
2               50            307.4            594.6                            
3               50            287.2            287.2                             
7               60            243.0           3577.7                             
8               60            324.6           3334.8                             
9               60            473.5           3010.1
10               60            535.9           2536.6
11               60            512.1           2000.7
12               60            426.5           1488.6
1               60            405.8           1062.1
2               60            335.1            656.3
3               60            321.2            321.2
7              100            201.0           3188.2
8              100            262.0           2987.2
9              100            439.0           2725.2
10              100            473.3           2286.2
11              100            483.5           1812.9
12              100            407.6           1329.4
1              100            366.3            921.8
2              100            325.5            555.5
3              100            230.0            230.0
