! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_carryover
contractor       percent          carryover
                1              100            14.94
                2              100            12.49
                3              100            63.45
                4              100             0.00
                5              100             4.80
                6              100            69.18
                7              100             0.00
                8              100             0.00
                9              100             2.90
               10              100            27.88
               11              100            10.75
               12              100             0.38
               13              100            81.40
               14              100             0.00
               15              100           200.00
               16              100            39.51
               17              100            11.35
               18              100             2.72
               19              100             0.00
               20              100            10.00
               21              100             0.00
               22              100             4.16
               23              100            11.41
               24              100            10.53
               25              100            19.26
               26              100            23.87
               27              100             0.00
               28              100             0.00
               29              100             0.00
               30              100            48.09
                1               60            10.62
                2               60            10.50
                3               60            22.10
                4               60             0.00
                5               60             2.29
                6               60            16.14
                7               60             0.00
                8               60             0.00
                9               60             1.51
               10               60             6.50
               11               60             6.62
               12               60             0.17
               13               60            25.73
               14               60             0.00
               15               60           114.78
               16               60            25.71
               17               60             7.98
               18               60             1.51
               19               60             4.24
               20               60             5.94
               21               60             0.00
               22               60             1.44
               23               60             7.66
               24               60             1.29
               25               60             3.82
               26               60            10.53
               27               60             0.00
               28               60             0.00
               29               60             0.00
               30               60            18.38
                1               50             9.47
                2               50             7.40
                3               50            14.67
                4               50             4.83
                5               50             1.18
                6               50            11.53
                7               50             0.00
                8               50             0.00
                9               50             0.97
               10               50             5.58
               11               50             5.62
               12               50             0.12
               13               50            13.29
               14               50             0.00
               15               50           100.00
               16               50            11.53
               17               50             7.26
               18               50             1.03
               19               50             1.91
               20               50             4.92
               21               50             0.00
               22               50             1.09
               23               50             5.43
               24               50             0.77
               25               50             3.01
               26               50             5.97
               27               50             0.00
               28               50             0.00
               29               50             0.00
               30               50             4.83
                1               30             8.21
                2               30             6.42
                3               30             8.21
                4               30             3.70
                5               30             0.00
                6               30             0.00
                7               30             0.00
                8               30             0.00
                9               30             0.76
               10               30             0.00
               11               30             2.90
               12               30             0.04
               13               30             5.05
               14               30             0.00
               15               30           100.00
               16               30             6.44
               17               30             4.71
               18               30             0.46
               19               30             1.32
               20               30             2.89
               21               30             0.00
               22               30             0.66
               23               30             3.86
               24               30             0.00
               25               30             1.20
               26               30             2.35
               27               30             0.00
               28               30             0.00
               29               30             0.00
               30               30             0.00
